Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
ADDISON-49220,42.0072522,-84.3226488,Woodstock Wine and Cheese,42.00780461858161,-84.29238997272252,Liquor Store
ADDISON-49220,42.0072522,-84.3226488,Captain Chuck's Sandbar & Grill,42.00783672131693,-84.2914748992784,American Restaurant
ADDISON-49220,42.0072522,-84.3226488,BP,42.00469815,-84.34934566,Gas Station
ADDISON-49220,42.0072522,-84.3226488,Vettes Pizza,42.00474406834908,-84.34899039745413,Pizza Place
ADDISON-49220,42.0072522,-84.3226488,Luigi's,42.00787349406645,-84.29188030304555,Pizza Place
ADDISON-49220,42.0072522,-84.3226488,Panther Pit,41.986426437589415,-84.34955012818949,Deli / Bodega
ADDISON-49220,42.0072522,-84.3226488,"Mechanical Extremes Heating & Cooling, LLC.",42.028823941442475,-84.34862579935155,Construction & Landscaping
ADRIAN-49221,41.8851765,-84.05902900000002,Culver's,41.87894146440498,-84.04381333997627,Fast Food Restaurant
ADRIAN-49221,41.8851765,-84.05902900000002,BIGGBY COFFEE,41.87450298798345,-84.03489468633306,Coffee Shop
ADRIAN-49221,41.8851765,-84.05902900000002,The Spotted Cow,41.88146066614731,-84.03989378792829,Ice Cream Shop
ADRIAN-49221,41.8851765,-84.05902900000002,Red Lobster,41.876178,-84.043951,Seafood Restaurant
ADRIAN-49221,41.8851765,-84.05902900000002,Morning Fresh Bakery,41.881988255519595,-84.04379368785355,Bakery
ADRIAN-49221,41.8851765,-84.05902900000002,Starbucks,41.87447,-84.03260999999999,Coffee Shop
ADRIAN-49221,41.8851765,-84.05902900000002,Jimmy John's,41.90476420037179,-84.06534526345347,Sandwich Place
ADRIAN-49221,41.8851765,-84.05902900000002,Cancun,41.88264846218717,-84.04360979604922,Mexican Restaurant
ADRIAN-49221,41.8851765,-84.05902900000002,Frosty Boy,41.897025669550096,-84.03428000760898,Ice Cream Shop
ADRIAN-49221,41.8851765,-84.05902900000002,Planet Fitness,41.878894767598645,-84.045627434686,Gym / Fitness Center
ADRIAN-49221,41.8851765,-84.05902900000002,Hobby Lobby,41.87612003547954,-84.03991968280332,Fabric Shop
ADRIAN-49221,41.8851765,-84.05902900000002,The Croswell Opera House,41.899101759873865,-84.03520810275376,Theater
ADRIAN-49221,41.8851765,-84.05902900000002,Sauce,41.900160866418936,-84.03583101618754,Italian Restaurant
ADRIAN-49221,41.8851765,-84.05902900000002,Jr's Hometown Grill and Pub,41.876709764071606,-84.03377358761794,Steakhouse
ADRIAN-49221,41.8851765,-84.05902900000002,Alpha Koney Island,41.902517145015906,-84.03394695149429,American Restaurant
ADRIAN-49221,41.8851765,-84.05902900000002,The Centre,41.9067985496667,-84.08108941429082,Gym
ADRIAN-49221,41.8851765,-84.05902900000002,Country Market,41.904483329698245,-84.0670163096746,Grocery Store
ADRIAN-49221,41.8851765,-84.05902900000002,Bath & Body Works,41.87737356159085,-84.0404212421115,Cosmetics Shop
ADRIAN-49221,41.8851765,-84.05902900000002,Cold Stone Creamery,41.88865264582443,-84.04294788837433,Ice Cream Shop
ADRIAN-49221,41.8851765,-84.05902900000002,Tim Hortons,41.888759472066496,-84.0429103374482,Coffee Shop
ADRIAN-49221,41.8851765,-84.05902900000002,Meijer,41.876928254012476,-84.03595268726349,Supermarket
ADRIAN-49221,41.8851765,-84.05902900000002,Hoagie Man,41.90494919104339,-84.07896248851645,Sandwich Place
ADRIAN-49221,41.8851765,-84.05902900000002,Panera Bread,41.874553000000006,-84.033821,Café
ADRIAN-49221,41.8851765,-84.05902900000002,Fricker's,41.88852567404695,-84.04398665645584,Bar
ADRIAN-49221,41.8851765,-84.05902900000002,The Grasshopper El Chapulin - Adrian,41.89882791834956,-84.03815780543671,Mexican Restaurant
ADRIAN-49221,41.8851765,-84.05902900000002,Fiesta Ranchero,41.873099385968224,-84.02885779757567,Mexican Restaurant
ADRIAN-49221,41.8851765,-84.05902900000002,Super Liquor III,41.887773971563796,-84.0437092657569,Liquor Store
ADRIAN-49221,41.8851765,-84.05902900000002,Family Video,41.90364780702616,-84.06402624292042,Video Store
ADRIAN-49221,41.8851765,-84.05902900000002,Christian Family Center,41.90688619885714,-84.08128834345544,Gym
ADRIAN-49221,41.8851765,-84.05902900000002,Domino's Pizza,41.888782434693326,-84.05607998371123,Pizza Place
ADRIAN-49221,41.8851765,-84.05902900000002,Dollar General,41.88198938284749,-84.04558275277084,Discount Store
