Area,PostCode,Lat,Lon
ADDISON,49220,42.0072522,-84.3226488
ADRIAN,49221,41.8851765,-84.059029
ALBION,49224,42.2936964,-84.7524482
ALGONAC,48001,42.6433343,-82.5834947
ALLEN,49227,41.9387282,-84.7524482
ALLEN PARK,48101,42.2427186,-83.2184763
ALLENTON,48002,42.9371078,-82.9286428
ALMONT,48003,42.9450131,-83.0576156
ANN ARBOR,48103,42.2475863,-83.8260884
ANN ARBOR,48104,42.2660881,-83.7146001
ANN ARBOR,48105,42.3295957,-83.7092861
ANN ARBOR,48108,42.2129167,-83.7305392
ANN ARBOR,48109,42.3053253,-83.6694169
APPLEGATE,48401,43.3704942,-82.6159271
ARMADA,48005,42.8521261,-82.920669
ATTICA,48412,43.0688542,-83.1863358
AVOCA,48006,43.0576031,-82.6915429
BAD AXE,48413,43.7698518,-83.0361376
BANCROFT,48414,42.8758664,-84.0695961
BELLEVILLE,48111,42.1894357,-83.4856913
BIRCH RUN,48415,43.257281,-83.7836403
BIRMINGHAM,48009,42.5410436,-83.2131206
BLISSFIELD,49228,41.7783776,-83.9108968
BLOOMFIELD HILLS,48301,42.5415192,-83.3041061
BLOOMFIELD HILLS,48302,42.5805638,-83.3041061
BLOOMFIELD HILLS,48304,42.5767898,-83.2398943
BRIGHTON,48114,42.5564732,-83.7411631
BRIGHTON,48116,42.5093496,-83.7730237
BRITTON,49229,41.9717483,-83.8260884
BROOKLYN,49230,42.1099888,-84.2067992
BROWN CITY,48416,43.2102347,-82.9716617
BURT,48417,43.2561786,-83.9426698
BYRON,48418,42.8017605,-83.9532571
CAMDEN,49232,41.7366609,-84.6688348
CAPAC,48014,43.0145327,-82.9286428
CARLETON,48117,42.0664326,-83.4003037
CARSONVILLE,48419,43.4219458,-82.669947
CEMENT CITY,49233,42.0675132,-84.3436881
CENTER LINE,48015,42.4812462,-83.030767
CHELSEA,48118,42.2980829,-84.0378894
CLARKLAKE,49234,42.1277049,-84.3647199
CLARKSTON,48346,42.7244204,-83.4323375
CLARKSTON,48348,42.7712149,-83.4003037
CLAWSON,48017,42.5349326,-83.1514991
CLAYTON,49235,41.8729293,-84.2067992
CLINTON,49236,42.0667786,-83.9426698
CLIO,48420,43.1754912,-83.6986568
COLUMBIAVILLE,48421,43.1586596,-83.4003037
CONCORD,49237,42.1717843,-84.6688348
CROSWELL,48422,43.2654974,-82.6267345
DAVISBURG,48350,42.7521612,-83.5412042
DAVISON,48423,43.0500527,-83.528342
DEARBORN,48120,42.3049172,-83.1916937
